disaggregation_of_revenue,disaggregation_of_revenue_dup1,disaggregation_of_revenue_dup2,disaggregation_of_revenue_dup3,disaggregation_of_revenue_dup4,none,none_dup1
,,,,,,
,2024.0,2024.0,,,2023.0,2023.0
Robotics,,,,,,
Product revenue,1252.0,1252.0,,,2767.0,2767.0
Service revenue,,1510.0,,,,258.0
Leasing revenue,,604.0,,,,146.0
Total Robotics revenue,,3366.0,,,,3171.0
Smart hardware,,16.0,,,,1.0
Interactive system,,101.0,,,,167.0
ClouTea*,,232.0,,,,25.0
"Total revenue, net",3715.0,3715.0,,,3364.0,3364.0
